movie,productionbudget,domesticgross,worldwidegross,year
Robin Hood,99000000,30824628,85210012,2018
The LEGO Movie 2: The Second Part,99000000,105806508,190131036,2019
The Peanuts Movie,99000000,130178411,250091610,2015
And Then Came Love,989000,8158,8158,2007
The Mummy Returns,98000000,202007640,435040395,2001
Ford v. Ferrari,97600000,117624357,224418748,2019
Alien: Covenant,97000000,74262031,238521247,2017
Gangs of New York,97000000,77730500,183124621,2002
Banshee Chapter,950000,0,78122,2014
Hard Candy,950000,1024640,8267066,2006
Charly,950000,814666,814666,2002
AntÃ´nia - O Filme,950000,3550,289789,2007
Trance,950000,0,0,2012
Jesse,950000,0,0,2014
Ask Me Anything,950000,0,0,2015
Black Hawk Down,95000000,108638745,159691085,2001
The Campaign,95000000,86907746,104907746,2012
Unstoppable,95000000,81562942,165720921,2010
The Road to El Dorado,95000000,50802661,65700000,2000
The Lovely Bones,95000000,44114232,94894448,2009
Ben-Hur,95000000,26410477,91669648,2016
Seventh Son,95000000,17725785,108874967,2014
Percy Jackson & the Olympians: The Lightning Thief,95000000,88768303,223050874,2010
Sex and the City 2,95000000,95347692,294680778,2010
The Fifth Element,95000000,63570862,263898761,1997
Ice Age: Continental Drift,95000000,161321843,879765137,2012
Cinderella,95000000,201151353,534551353,2015
Kingsman: The Secret Service,94000000,128261724,404561724,2015
Lara Croft: Tomb Raider,94000000,131144183,273330185,2001
The Lord of the Rings: The Two Towers,94000000,342548984,919148764,2002
The Lord of the Rings: The Return of the King,94000000,377845905,1120224046,2003
Finding Nemo,94000000,380529370,936094852,2003
L!fe Happens,930000,30905,30905,2012
Rise of the Planet of the Apes,93000000,176760185,470986200,2011
Jurassic Park III,93000000,181166115,365900000,2001
The Spiderwick Chronicles,92500000,71195053,162839667,2008
Cutthroat Island,92000000,10017322,18517322,1995
The Alamo,92000000,22406362,23911362,2004
A Good Day to Die Hard,92000000,67349198,304249198,2013
The Incredibles,92000000,261441092,631441092,2004
Lowriders,916000,6179955,6188421,2017
Food Chains,913000,0,176,2014
On the Waterfront,910000,9600000,9600000,1954
The Secret Life of Walter Mitty,91000000,58236838,187861183,2013
Circumstance,900000,454121,958978,2011
The Miseducation of Cameron Post,900000,905111,2019874,2018
4 luni 3 saptamani si 2 zile,900000,1196321,11993156,2008
The Quiet,900000,381420,381420,2006
The Giant Mechanical Man,900000,7396,7396,2012
The Brass Teapot,900000,6997,413733,2013
40 Weeks,900000,0,0,2014
Le bonheur d'Elza,900000,0,0,2015
Meet the Blacks,900000,9097072,9097072,2016
Fruitvale Station,900000,16098998,17549645,2013
Rio,90000000,143619809,487519809,2011
You Don't Mess With the Zohan,90000000,100018837,202910991,2008
Contact,90000000,100920329,165900000,1997
The Girl with the Dragon Tattoo,90000000,102515793,239373970,2011
Tropic Thunder,90000000,110515313,191145256,2008
Mulan,90000000,120620254,303500000,1998
Charlie's Angels,90000000,125305545,259736090,2000
The Departed,90000000,132384315,289660619,2006
Once Upon a Timeâ¦in Hollywood,90000000,142502728,376158396,2019
Jumanji: Welcome to the Jungle,90000000,404508916,961230193,2017
Sonic The Hedgehog,90000000,146066470,304999138,2020
What Lies Beneath,90000000,155464351,288693989,2000
Ice Age: Dawn of the Dinosaurs,90000000,196573705,886686817,2009
Bad Boys For Life,90000000,204417855,424288079,2020
Sherlock Holmes,90000000,209028679,498438212,2009
Rush Hour 2,90000000,226164286,347425832,2001
Toy Story 2,90000000,245852179,511358276,1999
Men in Black,90000000,250690539,587790539,1997
The Magnificent Seven,90000000,93432655,162136124,2016
Die Hard: With a Vengeance,90000000,100012499,366101666,1995
Spider-Man: Into The Spider-Verse 3D,90000000,190173195,375332003,2018
Alvin and the Chipmunks: The Road Chip,90000000,85886987,249517956,2015
Mission to Mars,90000000,60874615,106000000,2000
Atlantis: The Lost Empire,90000000,84052762,186049020,2001
Army of the Dead,90000000,0,0,nown
Bright,90000000,0,0,2017
The Nutcracker in 3D,90000000,195459,20466016,2010
The Promise,90000000,8224288,10551417,2017
The Three Musketeers,90000000,20377913,139877913,2011
Conan the Barbarian,90000000,21295021,63356133,2011
The Devil's Own,90000000,42885593,140900000,1997
Volcano,90000000,47546796,120100000,1997
King Arthur,90000000,51877963,203653524,2004
Bicentennial Man,90000000,58220776,87420776,1999
Tomb Raider,90000000,58250803,273477501,2018
K-19: The Widowmaker,90000000,35168966,65716126,2002
The Saint,90000000,61363304,169400000,1997
Pixels,90000000,78765986,244041804,2015
Spy Game,90000000,62362560,143049560,2001
Now You See Me 2,90000000,65075540,328325007,2016
Lara Croft: Tomb Raider: The Cradle of Life,90000000,65653758,157092943,2003
Valkyrie,90000000,83107829,203932174,2008
Percy Jackson: Sea of Monsters,90000000,68559554,200859554,2013
The Interpreter,90000000,72708161,162753837,2005
Hollow Man,90000000,73209340,191200000,2000
The Haunted Mansion,90000000,75817994,155750628,2003
Artificial Intelligence: AI,90000000,78616689,235900000,2001
Gunless,9900000,458054,458054,2010
Friend Request,9900000,3759078,11310835,2016
Adventureland,9800000,16044025,17553055,2009
Amour,9700000,6738954,36787044,2012
The Lost City,9600000,2484186,5256839,2006
Truth,9600000,2541854,6842580,2015
Gentlemen Broncos,9500000,115155,119955,2009
The Runaways,9500000,3573673,5278632,2010
Dangal,9500000,12391761,305149461,2016
Poltergeist III,9500000,14114000,14114000,1988
You Only Live Twice,9500000,43100000,111600000,1967
Next Friday,9500000,57176582,59675307,2000
Re-Kill,9500000,0,0,nown
Melancholia,9400000,3030848,21817298,2011
Volver,9400000,12899867,87226613,2006
It's a Mad Mad Mad Mad World,9400000,46300000,60000000,1963
Heavy Metal,9300000,19571091,19571091,1981
Words on Bathroom Walls,9300000,2542518,2594286,2020
Jab Tak Hai Jaan,9200000,3047539,5806666,2012
Richard III,9200000,2684904,4199334,1995
Kites,9200000,1685269,17155193,2010
Elle,9100000,2339735,16517708,2016
Red Dog,9100000,0,20927794,nown
Mine Vaganti,9100000,0,18872126,2012
Zarafa,9100000,0,14709816,2012
Happy Death Day 2U,9000000,28148130,64686515,2019
Beneath Hill 60,9000000,0,3440939,2014
The Best Man,9000000,34102780,34572780,1999
Veronika Decides to Die,9000000,0,2243,2012
Les gamins,9000000,0,15660664,2013
Princess Kaiulani,9000000,883887,883887,2010
Skin Trade,9000000,1242,1242,2015
Opal Dream,9000000,14443,14443,2006
Leaves of Grass,9000000,70066,85527,2010
Flammen og Citronen,9000000,148089,1635241,2009
Red Riding: The Year of Our Lord 1974,9000000,148826,148826,2010
All or Nothing,9000000,184255,184255,2002
La fille du RER,9000000,208163,208163,2010
Dheepan,9000000,248795,7704357,2015
Due occhi diabolici,9000000,349618,349618,1991
The Legend of Suriyothai,9000000,454255,461581,2003
Child's Play,9000000,33244684,44196684,1988
Trust the Man,9000000,1530535,2548378,2006
Midsommar,9000000,27426363,46843430,2019
Hamlet 2,9000000,4886216,4934104,2008
Set It Off,9000000,36049108,36049108,1996
Boiler Room,9000000,16963963,28773637,2000
Black Christmas,9000000,16235738,16235738,2006
The Edge of Seventeen,9000000,14431633,19096003,2016
Jackie,9000000,13960394,36588512,2016
The Ice Pirates,9000000,13075390,13075390,1984
Breakin' All the Rules,9000000,12232382,12512317,2004
Glee: The 3D Concert Movie,9000000,11862398,17462398,2011
Henry V,9000000,10161099,10176701,1989
Loving,9000000,7710234,12898064,2016
The Savages,9000000,6623082,10642023,2007
Chasing Papi,9000000,6126237,12657377,2003
The Way of the Gun,9000000,6047856,13061935,2000
Igby Goes Down,9000000,4777465,5512151,2002
Sicko,9000000,24538513,36535837,2007
PCU,9000000,4333569,4333569,1994
The Contender,9000000,17804273,17804273,2000
The Ultimate Gift,9000000,3438735,3438735,2007
Beautiful,9000000,3134509,3134509,2000
Gracie,9000000,2956339,3922043,2007
Harold & Kumar Go to White Castle,9000000,18225165,19474552,2004
The Sapphires,9000000,2450867,20395040,2012
Greater,9000000,2000093,2000093,2016
Destroyer,9000000,1533324,3703064,2018
Undiscovered,9000000,1069318,1069318,2005
Velvet Goldmine,9000000,1053788,4313644,1998
Down to You,9000000,20035310,20035310,2000
Black or White,9000000,21571189,21971021,2015
Ouija: Origin of Evil,9000000,35144505,81831866,2016
The Sun is Also a Star,9000000,4950029,5680796,2019
The Strangers,9000000,52597610,83051676,2008
Fiddler on the Roof,9000000,80500000,80500000,1971
The Curse of La Llorona,9000000,54733739,121661395,2019
A Haunting in Connecticut 2: The Ghosts of Georgia,9000000,0,0,2013
Thunderball,9000000,63600000,141200000,1965
The Purge: Anarchy,9000000,71562550,111534881,2014
Barbarella,9000000,0,0,1968
The Texas Chainsaw Massacre,9000000,80571655,107967319,2003
Escape Room,9000000,57000756,155313078,2019
Newlyweds,9000,4584,4584,2012
Searching,880000,26015149,76090613,2018
Twister,88000000,241688385,495700000,1996
Cinderella Man,88000000,61649911,105021488,2005
The Predator,88000000,51024708,159487563,2018
Fantastic Four,87500000,154696080,333132750,2005
Hannibal,87000000,165092266,350100280,2001
The Last House on the Left,87000,3100000,3100000,1972
Seabiscuit,86000000,120277854,148715342,2003
Bambi,858000,102797000,268000000,1942
Snitch,850000,0,0,nown
Harrison Montgomery,850000,0,0,nown
For a Good Time Call,850000,1251749,1386088,2012
Latter Days,850000,833118,865708,2004
The Hammer,850000,442638,442638,2008
Windsor Drive,850000,3256,3256,2015
Mirror Mirror,85000000,64935167,173613482,2012
Collateral Damage,85000000,40048332,78353508,2002
The Fast and the Furious: Tokyo Drift,85000000,62615510,157794205,2006
Memoirs of a Geisha,85000000,57010853,161510853,2005
Enemy at the Gates,85000000,51396781,96971293,2001
Last Action Hero,85000000,50016394,137298489,1993
The Rundown,85000000,47641743,80831893,2003
Father's Day,85000000,28681080,35681080,1997
Arthur Christmas,85000000,46462469,149717124,2011
xXx: Return of Xander Cage,85000000,44898413,345033359,2017
The Core,85000000,31111260,74120792,2003
Meet Joe Black,85000000,44650003,44650003,1998
Cats & Dogs: The Revenge of Kitty Galore,85000000,43585753,113026383,2010
Scott Pilgrim vs. The World,85000000,31611316,48056764,2010
Zodiac,85000000,33080084,83080084,2007
Judge Dredd,85000000,34687912,113487912,1995
Showtime,85000000,37948765,78948765,2002
The Holiday,85000000,63280000,205190324,2006
I Now Pronounce You Chuck and Larry,85000000,119725280,185708462,2007
102 Dalmatians,85000000,66941559,66941559,2000
Divergent,85000000,150947895,276014965,2014
Cast Away,85000000,233632142,427230516,2000
Happy Feet,85000000,198000317,385000317,2006
Ocean's Eleven,85000000,183417150,450728529,2001
The Bourne Supremacy,85000000,176087450,311001124,2004
Air Force One,85000000,172956409,315268353,1997
Tower Heist,85000000,78046570,150422946,2011
Horton Hears a Who,85000000,154529439,299477886,2008
Fast & Furious,85000000,155064265,363064265,2009
Hotel Transylvania,85000000,148313048,377752514,2012
Enchanted,85000000,127706877,340384141,2007
Safe House,85000000,126181630,208542162,2012
Ocean's Thirteen,85000000,117144465,311744465,2007
Itâs Complicated,85000000,112735375,224614744,2009
Enemy of the State,85000000,111549836,250649836,1998
Open Season,85000000,85105259,191932158,2006
Shazam!,85000000,140371656,363664533,2019
Celeste and Jesse Forever,840000,3103407,3787689,2012
The Greatest Showman,84000000,174340174,437137759,2017
Scooby-Doo,84000000,153294164,276294164,2002
Nutty Professor II: The Klumps,84000000,123307945,166307945,2000
RED 2,84000000,53262560,141507355,2013
Sing,84000,0,0,nown
Time Changer,825000,1500711,1500711,2002
London to Brighton,825000,0,610776,2009
Crying With Laughter,820000,0,16909,nown
Charlotte\'s Web,82500000,82985708,143985708,2006
Click,82500000,137355633,237685089,2006
Hellboy II: The Golden Army,82500000,75986503,160388063,2008
Jumper,82500000,80172128,222640812,2008
The 6th Day,82000000,34543701,96024898,2000
Birds of Prey (And the Fantabulous Emancipation…,82000000,84158461,201858461,2020
The Expendables,82000000,103068524,268268174,2010
The Longest Yard,82000000,158119460,191558505,2005
Bruce Almighty,81000000,242704995,484468608,2003
Vessel,800000,0,0,2015
Kill List,800000,29063,462206,2012
DÃ¸d snÃ¸,800000,46742,2194020,2009
The Mudge Boy,800000,62544,62544,2004
The Young Unknowns,800000,58163,58163,2003
Not Cool,800000,35688,35688,2014
Deterrence,800000,144583,371647,2000
Raising Victor Vargas,800000,2073984,2900578,2003
Cama adentro,800000,200433,200433,2007
Billy Jack,800000,98000000,98000000,1971
Welcome to the Dollhouse,800000,4198137,5034794,1996
Jodaeiye Nader az Simin,800000,7098492,24426169,2011
Ruby in Paradise,800000,1001437,1001437,1993
Pandora's Box,800000,881950,881950,2002
Surrogates,80000000,38577772,119668350,2009
Daylight,80000000,32908290,158908290,1996
Little Nicky,80000000,39442871,58270391,2000
Evolution,80000000,38311134,98341932,2001
The Brothers Grimm,80000000,37899638,105299638,2005
Mars Attacks!,80000000,37771017,101371017,1996
The Wild,80000000,37384046,99010667,2006
Walking with Dinosaurs,80000000,36076121,123368842,2013
Thirteen Days,80000000,34566746,66554547,2000
Oceans,80000000,19422319,86787530,2010
Babe: Pig in the City,80000000,18319860,69131860,1998
The Last Witch Hunter,80000000,27367660,130818912,2015
Pompeii,80000000,23169033,108469033,2014
Timeline,80000000,19480739,26703184,2003
Nine,80000000,19676965,56984219,2009
Looney Tunes: Back in Action,80000000,20950820,54540662,2003
Ad Astra,80000000,50188370,135432019,2019
Battlefield Earth: A Saga of the Year 3000,80000000,21471685,29725663,2000
The Legend of Zorro,80000000,45575336,141475336,2005
Bewitched,80000000,63313159,131159306,2005
Mighty Joe Young,80000000,50632037,50632037,1998
Six Days Seven Nights,80000000,74339294,164800000,1998
Fury,80000000,85817906,210315681,2014
Smallfoot,80000000,83240103,213682073,2018
The Pink Panther,80000000,82226474,158926474,2006
Zookeeper,80000000,80360866,170805525,2011
The Day the Earth Stood Still,80000000,79366978,237370350,2008
Conspiracy Theory,80000000,76118990,142783718,1997
Red Planet,80000000,17480890,33463969,2000
Spirit: Stallion of the Cimarron,80000000,73215310,106515310,2002
What Dreams May Come,80000000,55485043,71485043,1998
Swordfish,80000000,69772969,147080413,2001
Fantasia 2000 (Theatrical Release),80000000,69610858,69618634,1999
Lost In Space,80000000,69117629,136047317,1998
The Manchurian Candidate,80000000,65948711,96135872,2004
DÃ©jÃ Vu,80000000,64038616,181038616,2006
Flubber,80000000,92993801,177993801,1997
The Time Machine,80000000,56684819,98983590,2002
The Postman,80000000,17650704,20841123,1997
Face/Off,80000000,112276146,241200000,1997
Arthur et les Minimoys,80000000,15132763,113325743,2007
Robots,80000000,128200012,260636271,2005
The Hunger Games,80000000,408010692,677923379,2012
The Hangover Part II,80000000,254464305,586464305,2011
Mission: Impossible,80000000,180981886,457697994,1996
The Lego Batman Movie,80000000,175750384,310570560,2017
Hotel Transylvania 2,80000000,169700110,469500298,2015
Batman Returns,80000000,162833635,266824291,1992
The Secret Life of Pets 2,80000000,158874395,434442867,2019
The Mummy,80000000,155385488,416385488,1999
Over the Hedge,80000000,155019340,343397247,2006
Lilo & Stitch,80000000,145771527,245800000,2002
Deep Impact,80000000,140464664,349464664,1998
Grown Ups 2,80000000,133668525,247023808,2013
The Invasion,80000000,15074191,40147042,2007
Get Smart,80000000,130319208,226739416,2008
Alvin and the Chipmunks: Chipwrecked,80000000,133107389,349088523,2011
Shutter Island,80000000,128012934,299461782,2010
Eagle Eye,80000000,101440743,180585259,2008
A Sound of Thunder,80000000,1900451,6300451,2005
The Aeronauts,80000000,0,6628720,2019
The Book of Eli,80000000,94835059,158750817,2010
Something's Gotta Give,80000000,124685242,266685242,2003
Yogi Bear,80000000,100246011,204774690,2010
Con Air,80000000,101117573,224117573,1997
Cold Mountain,80000000,95632614,165173909,2003
Daredevil,80000000,102543518,182782518,2003
Just Go With It,80000000,103028109,214974953,2011
Road to Perdition,80000000,104054514,183354514,2002
Bedtime Stories,80000000,110101975,221468935,2008
The Haunting,80000000,91188905,180188905,1999
Four Christmases,80000000,120146040,168311558,2008
Space Jam,80000000,90463534,250180384,1996
Polisse,8900000,176988,22744132,2012
Heist,8900000,50136,3324131,2015
Ultramarines,8900000,0,0,2011
The I Inside,8800000,0,0,nown
Crocodile Dundee,8800000,174803506,328203506,1986
Dofus - Livre 1: Julith,8800000,0,624747,2016
Awake,8600000,14373825,32968648,2007
Marriage Story,8600000,0,320349,2019
A.C.O.R.N.S.: Operation Crackdown,8500000,0,1353287,2016
All the Presidentâs Men,8500000,51048435,51048435,1976
Election,8500000,14943582,17202854,1999
The Namesake,8500000,13610521,20288774,2007
All is Lost,8500000,6263670,10386814,2013
Club Dread,8500000,5001655,7573551,2004
Bright Star,8500000,4444637,17220091,2009
Glitter,8500000,4273372,4273372,2001
The Rover,8500000,1109199,3180252,2014
Silmido,8500000,298347,30298347,2004
Repo! The Genetic Opera,8500000,140244,198883,2008
Posledniy bogatyr,8500000,0,30700192,2017
Manchester by the Sea,8500000,47695371,77733867,2016
Haakon Haakonsen,8500000,15024232,15024232,1991
Star Wars: The Clone Wars,8500000,35161554,68695443,2008
The DUFF,8500000,34030343,43528634,2015
The Rose,8500000,29200000,29200000,1979
Baggage Claim,8500000,21569509,22885836,2013
Middle School: The Worst Years of My Life,8500000,20007149,23311293,2016
Dragon Ball Super: Broly,8500000,30376755,122747755,2018
The Lost Boys,8500000,32222567,32396366,1987
Nightcrawler,8500000,32381218,50334418,2014
Crazy Heart,8500000,39471742,47417251,2009
My Name is Khan,8470000,4046336,42355526,2010
Namastey London,8400000,1207007,6831069,2007
Kurtlar vadisi - Irak,8300000,0,24906717,2006
Yeh Jawaani Hai Deewani,8300000,3827466,50827466,2013
Limbo,8300000,2160710,2598224,1999
The Wind That Shakes the Barley,8300000,1829142,25670174,2007
The City of Your Final Destination,8300000,493296,1353296,2010
Quo Vadis?,8250000,30000000,30028983,1951
The Sound of Music,8200000,163214286,286214195,1965
Neuilly Sa MÃ¨re,8200000,0,19637575,nown
Footloose,8200000,80000000,80007954,1984
Burn Your Maps,8000000,0,0,2019
Code of Honor,8000000,0,0,2016
Lean on Pete,8000000,1163056,2455027,2018
Green Street Hooligans: Underground,8000000,0,0,2015
The Singing Detective,8000000,336456,524747,2003
Seberg,8000000,448009,852102,2020
Brooklyn Rules,8000000,458232,458232,2007
Down in the Valley,8000000,568932,973443,2006
The Wicked Lady,8000000,589308,589308,1983
Prefontaine,8000000,590817,590817,1997
Mr. Church,8000000,685780,685780,2016
The Secret of Kells,8000000,690290,3582797,2010
El Chicano,8000000,700261,700261,2019
Cut Throat City,8000000,855894,864797,2020
And When Did You Last See Your Father?,8000000,1071240,2476491,2008
Christmas in Beverly Hills,8000000,0,0,2009
Pathology,8000000,109045,3270974,2008
Teen Beach Movie,8000000,0,0,2013
Maurice Richard,8000000,0,0,2007
10th & Wolf,8000000,54702,143782,2006
Aloft,8000000,53086,531139,2015
Fireflies in the Garden,8000000,36884,3587191,2011
Dear Wendy,8000000,23106,446438,2005
Akira,8000000,19585,1789619,1991
Welcome to Dongmakgol,8000000,0,48000000,nown
Feichang Xingyun,8000000,0,21970000,2013
Don Gato el inicio de la pandilla,8000000,0,4604656,2015
The Death and Life of Bobby Z,8000000,0,414617,2007
Backstabbing For Beginners,8000000,0,343773,2018
The Report,8000000,0,242788,2019
Swelter,8000000,0,44197,2014
Wuthering Heights,8000000,100915,2721534,2012
A Street Cat Named Bob,8000000,82703,17382693,2016
Wild Target,8000000,109338,5314194,2010
The Wendell Baker Story,8000000,127188,127188,2007
The Land Girls,8000000,146083,146083,1998
Restless,8000000,163753,2772511,2011
London Fields,8000000,252676,433732,2018
Fido,8000000,298110,456814,2007
Ma vie de Courgette,8000000,309768,10245743,2016
Made in Dagenham,8000000,1095369,15644196,2010
Wes Craven's New Nightmare,8000000,18090181,18090181,1994
Le passÃ©,8000000,1335672,15752575,2013
Drive Me Crazy,8000000,17843379,22591451,1999
Creepshow,8000000,20036244,20036244,1982
The Player,8000000,21706101,28876702,1992
Much Ado About Nothing,8000000,22549338,22549338,1993
On Her Majesty's Secret Service,8000000,22800000,82000000,1969
Modern Problems,8000000,24474312,24474312,1981
Shutter,8000000,25928550,47782426,2008
That Awkward Moment,8000000,26068955,53068955,2014
Howards End,8000000,26124872,26342441,1992
Brown Sugar,8000000,27362712,28315272,2002
A Walk in the Woods,8000000,29499394,37119358,2015
Clay Pigeons,8000000,1793359,2256606,1998
50/50,8000000,35016118,41334735,2011
The Intruder,8000000,35388976,40597401,2019
You Got Served,8000000,40066497,50811858,2004
Escape from Alcatraz,8000000,43000000,43000000,1979
28 Days Laterâ¦,8000000,45064915,82955633,2003
Stand by Me,8000000,52287414,52287766,1986
Easy A,8000000,58401464,76200721,2010
Little Miss Sunshine,8000000,59891098,100642353,2006
Splash,8000000,62599495,62599495,1984
The Muppet Movie,8000000,76657000,76657000,1979
The Karate Kid,8000000,90815558,90857623,1984
Pulp Fiction,8000000,107928762,212894846,1994
Akeelah and the Bee,8000000,18848430,18959424,2006
A Thin Line Between Love & Hate,8000000,34873513,34873513,1996
Enough Said,8000000,17550872,25621449,2013
See No Evil,8000000,15032800,18828036,2006
Begin Again,8000000,16170632,67984118,2014
The Good Girl,8000000,14018296,16585503,2002
Bon Cop Bad Cop,8000000,12671300,12740705,2006
The Boondock Saints 2: All Saints Day,8000000,10273187,10629320,2009
Prom,8000000,10130219,10763183,2011
The Inkwell,8000000,8864699,8864699,1994
Shadow of the Vampire,8000000,8279017,8279017,2000
Me and Earl and the Dying Girl,8000000,6758416,9266180,2015
It's Kind of a Funny Story,8000000,6363628,6632950,2010
Under Fire,8000000,5696391,5696391,1983
The Pallbearer,8000000,5656388,5656388,1996
Woman on Top,8000000,5018450,10192613,2000
Held Up,8000000,4714090,4714090,2000
Morgan,8000000,3915251,7298786,2016
Anomalisa,8000000,3759286,5706168,2016
CachÃ©,8000000,3647381,19891331,2005
Another Year,8000000,3205706,20005613,2010
8 femmes,8000000,3076425,42376425,2002
Showdown in Little Tokyo,8000000,2275557,2275557,1991
Half Baked,8000000,17394881,17394881,1998
New in Town,8000000,16734283,29937909,2009
American Psycho,8000000,15070285,34270285,2000
The Lion King,79300000,421785283,986214868,1994
Jack and Jill,79000000,74158157,150519217,2011
Journey 2: The Mysterious Island,79000000,103860290,318146162,2012
The Foot Fist Way,79000,234286,234286,2008
Saints and Soldiers,780000,1310470,1310470,2004
Cloudy with a Chance of Meatballs 2,78000000,119793567,274392649,2013
A Beautiful Mind,78000000,170708996,317668058,2001
Red Dragon,78000000,92955420,206455420,2002
Exorcist: The Beginning,78000000,41814863,43957541,2004
The League of Extraordinary Gentlemen,78000000,66465204,179265204,2003
Hidalgo,78000000,67286731,108086731,2004
American Graffiti,777000,115000000,140000000,1973
Iraq for Sale: The War Profiteers,775000,0,0,2006
AstÃ©rix et ObÃ©lix: Au service de Sa MajestÃ©,77600000,0,60680125,2012
Renegades,77500000,0,1521672,2017
The Little Prince,77500000,1311213,102028919,2015
The Equalizer 2,77000000,102084362,190376181,2018
2 Fast 2 Furious,76000000,127120058,236410607,2003
The Adventures of Rocky & Bullwinkle,76000000,26000610,35129610,2000
Children of Men,76000000,35552383,69845011,2006
Despicable Me 2,76000000,368065385,975216835,2013
Best of Enemies,750000,892802,940936,2015
All the Boys Love Mandy Lane,750000,0,1960521,2013
Adulterers,750000,0,0,2016
Kevin Hart: Laugh at My Pain,750000,7706436,7712436,2011
Aqua Teen Hunger Force Colon Movie Film for The…,750000,5520368,5520368,2007
Safety Not Guaranteed,750000,4010957,4422318,2012
Destiny,750000,0,450,2015
The Innkeepers,750000,78396,1011535,2012
Il conformista,750000,59656,89609,1970
Interview with the Assassin,750000,47329,47329,2002
Undead,750000,41196,229250,2003
Donkey Punch,750000,19367,814801,2009
Bled,750000,0,0,2009
Vertical Limit,75000000,68473360,213500000,2000
Lady in the Water,75000000,42285169,72785169,2006
Charlie Wilsonâs War,75000000,66661095,119512771,2007
Life,75000000,64062587,73521587,1999
Abominable,75000000,60716390,187895755,2019
Be Cool,75000000,55849401,94944017,2005
Munich,75000000,47379090,131492772,2005
Killers,75000000,47059963,95572749,2010
The Man From U.N.C.L.E.,75000000,45445109,108517735,2015
Tears of the Sun,75000000,43632458,85632458,2003
Hostage,75000000,34636443,77636443,2005
Spanglish,75000000,42044321,54344321,2004
Bandits,75000000,41523271,71523271,2001
Anna and the King,75000000,39251128,39251128,1999
First Knight,75000000,37361412,127361412,1995
Sucker Punch,75000000,36392502,89758389,2011
Inferno,75000000,34343574,219519367,2016
Hollywood Homicide,75000000,30207785,50409753,2003
Titan A.E.,75000000,22751979,36751979,2000
Virus,75000000,14010690,30626690,1999
Monster House,75000000,73661010,141267370,2006
Shark Tale,75000000,161412000,371741123,2004
The Terminal,75000000,77073959,218673959,2004
Immortals,75000000,83504017,211562435,2011
The Secret Life of Pets,75000000,368384330,885302500,2016
Independence Day,75000000,306169255,817400878,1996
Dr. Seussâ The Grinch,75000000,270671950,513826664,2018
Sing,75000000,270329045,632483611,2016
Despicable Me 3,75000000,264624300,1032596894,2017
The Lost World: Jurassic Park,75000000,229086679,618638999,1997
Ice Age: The Meltdown,75000000,195330621,651899282,2006
Madagascar,75000000,193595521,556559566,2005
Grown Ups,75000000,162001186,272223000,2010
X-Men,75000000,157299717,296872367,2000
Wanted,75000000,134508551,342416460,2008
The Rock,75000000,134069511,336069511,1996
50 First Dates,75000000,120776832,196320329,2004
Mamma Mia: Here We Go Again!,75000000,120634935,392879661,2018
Hairspray,75000000,118871849,202822861,2007
Now You See Me,75000000,117723989,342769200,2013
Dreamgirls,75000000,103365956,155708695,2006
Christopher Robin,75000000,99215042,197504758,2018
Inspector Gadget,75000000,97387965,97387965,1999
Constantine,75000000,75976178,221593554,2005
Flight of the Phoenix,75000000,21009180,34009180,2004
Monkeybone,75000000,5409517,5409517,2001
PLAYMOBIL,75000000,1115008,16286699,2019
The 355,75000000,0,0,2022
Soldier,75000000,14623082,14623082,1998
Queen Crab,75000,0,0,2015
Dawn of the Crescent Moon,75000,8799,8799,2015
La mariÃ©e Ã©tait en noir,747000,44566,44566,1968
Minions,74000000,336045770,1159631140,2015
The SpongeBob Movie: Sponge Out of Water,74000000,162994032,311013181,2015
High Noon,730000,8000000,8000000,1952
Unbreakable,73243106,94999143,248099143,2000
Talladega Nights: The Ballad of Ricky Bobby,73000000,148213377,162870525,2006
The Angry Birds Movie,73000000,107509366,352327887,2016
Snake Eyes,73000000,55591409,103891409,1998
Sphere,73000000,37068294,50168294,1998
The Simpsons Movie,72500000,183135014,527071022,2007
Fool's Gold,72500000,70231041,109362966,2008
Funny People,72500000,51855045,71880305,2009
The Kingdom,72500000,47467250,86802457,2007
Two Brothers,72000000,19176754,62176754,2004
The Majestic,72000000,27796042,37306334,2001
Driven,72000000,32616869,54616869,2001
Jarhead,72000000,62647540,96947540,2005
Braveheart,72000000,75545647,209045244,1995
Dr. Dolittle 2,72000000,112950721,176101721,2001
The Village,71682975,114197520,257641634,2004
Doctor Dolittle,71500000,144156605,294156605,1998
Hoop Dreams,700000,7768371,11768371,1994
Rize,700000,3278611,4857731,2005
L.I.E.,700000,1140965,1140965,2001
Columbus,700000,1017107,1110511,2017
Naturally Native,700000,10508,10508,1999
B-Girl,700000,0,1160,2010
Walter,700000,0,0,2015
Half Nelson,700000,2697938,4911725,2006
Signs,70702619,227969295,408250578,2002
Doom,70000000,28212337,58757178,2005
Killer Elite,70000000,25124986,65409046,2011
Escape Plan,70000000,25135965,103735965,2013
The Finest Hours,70000000,27569558,49252761,2016
Stardust,70000000,38634938,137022245,2007
Bad Company,70000000,30157016,69157016,2002
I Spy,70000000,33561137,60279822,2002
Hard Rain,70000000,19870567,19870567,1998
Sky Captain and the World of Tomorrow,70000000,37760080,49730854,2004
Seven Years in Tibet,70000000,37945884,131445884,1997
The Brave One,70000000,36793804,69792704,2007
